timestamp    message 
1581651870   spa_misc.c:408:spa_load_note(): spa_load(srv, config untrusted): using uberblock with txg=9223374
1581651870   vdev.c:130:vdev_dbgmsg(): raidz-0 vdev (guid 10014079183068636947): metaslab_init failed [error=52]
1581651870   vdev.c:130:vdev_dbgmsg(): raidz-0 vdev (guid 10014079183068636947): vdev_load: metaslab_init failed [error=52]
1581651870   spa_misc.c:393:spa_load_failed(): spa_load(srv, config trusted): FAILED: vdev_load failed [error=52]
1581651870   spa_misc.c:408:spa_load_note(): spa_load(srv, config trusted): UNLOADING
1581651870   spa_misc.c:408:spa_load_note(): spa_load(srv, config trusted): spa_load_retry: rewind, max txg: 9223373
1581651870   spa_misc.c:408:spa_load_note(): spa_load(srv, config trusted): LOADING
1581651870   vdev.c:125:vdev_dbgmsg(): disk vdev '/dev/sdc1': best uberblock found for spa srv. txg 9222924
1581651871   spa_misc.c:408:spa_load_note(): spa_load(srv, config untrusted): using uberblock with txg=9222924
1581651871   vdev.c:130:vdev_dbgmsg(): raidz-0 vdev (guid 10014079183068636947): metaslab_init failed [error=52]
1581651871   vdev.c:130:vdev_dbgmsg(): raidz-0 vdev (guid 10014079183068636947): vdev_load: metaslab_init failed [error=52]
1581651871   spa_misc.c:393:spa_load_failed(): spa_load(srv, config trusted): FAILED: vdev_load failed [error=52]
1581651871   spa_misc.c:408:spa_load_note(): spa_load(srv, config trusted): UNLOADING
1581651871   spa_misc.c:408:spa_load_note(): spa_load(srv, config trusted): spa_load_retry: rewind, max txg: 9222923
1581651871   spa_misc.c:408:spa_load_note(): spa_load(srv, config trusted): LOADING
1581651871   vdev.c:125:vdev_dbgmsg(): disk vdev '/dev/sdc1': best uberblock found for spa srv. txg 9222923
1581651871   spa_misc.c:408:spa_load_note(): spa_load(srv, config untrusted): using uberblock with txg=9222923
1581651871   vdev.c:130:vdev_dbgmsg(): raidz-0 vdev (guid 10014079183068636947): metaslab_init failed [error=52]
1581651871   vdev.c:130:vdev_dbgmsg(): raidz-0 vdev (guid 10014079183068636947): vdev_load: metaslab_init failed [error=52]
1581651871   spa_misc.c:393:spa_load_failed(): spa_load(srv, config trusted): FAILED: vdev_load failed [error=52]
1581651871   spa_misc.c:408:spa_load_note(): spa_load(srv, config trusted): UNLOADING
1581651871   spa_misc.c:408:spa_load_note(): spa_load(srv, config trusted): spa_load_retry: rewind, max txg: 9222922
1581651871   spa_misc.c:408:spa_load_note(): spa_load(srv, config trusted): LOADING
1581651871   vdev.c:125:vdev_dbgmsg(): disk vdev '/dev/sdc1': best uberblock found for spa srv. txg 9222922
1581651871   spa_misc.c:408:spa_load_note(): spa_load(srv, config untrusted): using uberblock with txg=9222922
1581651871   vdev.c:130:vdev_dbgmsg(): raidz-0 vdev (guid 10014079183068636947): metaslab_init failed [error=52]
1581651871   vdev.c:130:vdev_dbgmsg(): raidz-0 vdev (guid 10014079183068636947): vdev_load: metaslab_init failed [error=52]
1581651871   spa_misc.c:393:spa_load_failed(): spa_load(srv, config trusted): FAILED: vdev_load failed [error=52]
1581651871   spa_misc.c:408:spa_load_note(): spa_load(srv, config trusted): UNLOADING
